year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	AggregatedInstalledCapacity	SubmissionTS
2016	1	1	2016-01-01 00:00:00.000	CTY	Czech Republic	CZ	Fossil Oil 	0.00	2016-08-19 12:18:04.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CEPS BZ	CZ	Wind Onshore 	277.00	2016-08-19 12:18:15.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Czech Republic	CZ	Wind Onshore 	277.00	2016-08-19 12:18:15.000
2016	1	1	2016-01-01 00:00:00.000	BZN	ELES BZ	SI	Other renewable 	0.00	2017-09-22 12:20:57.000
2016	1	1	2016-01-01 00:00:00.000	BZN	ELES BZ	SI	Hydro Pumped Storage 	180.00	2017-09-22 12:20:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Slovenia	SI	Hydro Pumped Storage 	180.00	2017-09-22 12:20:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Slovenia	SI	Other renewable 	0.00	2017-09-22 12:20:57.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Bulgaria	BG	Hydro Pumped Storage 	1399.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Bulgaria	BG	Wind Onshore 	701.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Bulgaria	BG	Fossil Gas 	715.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	BZN	ESO BZ	BG	Fossil Gas 	715.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	BZN	ESO BZ	BG	Wind Onshore 	701.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	BZN	ESO BZ	BG	Hydro Pumped Storage 	1399.00	2017-05-31 12:36:17.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Statnett CA	NO	Other 	0.00	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Statnett CA	NO	Wind Onshore 	872.60	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Norway	NO	Other 	0.00	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Norway	NO	Hydro Water Reservoir 	26909.50	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Norway	NO	Fossil Gas 	1412.40	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Statnett CA	NO	Fossil Gas 	1412.40	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Statnett CA	NO	Hydro Water Reservoir 	26909.50	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Norway	NO	Wind Onshore 	872.60	2017-03-09 15:35:48.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Fingrid CA	FI	Nuclear 	2782.00	2015-12-22 06:55:47.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Fingrid CA	FI	Fossil Peat 	1024.00	2015-12-22 07:01:07.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Elering CA	EE	Fossil Brown coal/Lignite 	0.00	2016-05-25 07:04:39.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Elering CA	EE	Fossil Peat 	0.00	2016-05-25 07:04:39.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Hydro Run-of-river and poundage 	10325.50	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	CTY	France	FR	Wind Onshore 	1426.00	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Wind Onshore 	1426.00	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	BZN	RTE BZ	FR	Hydro Run-of-river and poundage 	10325.50	2016-11-22 10:27:14.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Energinet CA	DK	Other renewable 	88.00	2016-07-15 08:05:02.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Denmark	DK	Other renewable 	88.00	2016-07-15 08:05:02.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Spain	ES	Hydro Water Reservoir 	19076.30	2016-07-15 08:08:53.000
2016	1	1	2016-01-01 00:00:00.000	BZN	REE BZ	ES	Hydro Water Reservoir 	19076.30	2016-07-15 08:08:53.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Wind Onshore 	1082.00	2016-07-15 08:09:05.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Other 	1305.00	2016-07-15 08:09:05.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Fingrid BZ	FI	Wind Onshore 	1082.00	2016-07-15 08:09:05.000
2016	1	1	2016-01-01 00:00:00.000	CTA	50Hertz CA	DE_50HzT	Fossil Coal-derived gas 	73.00	2017-09-26 12:12:52.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CEPS BZ	CZ	Fossil Coal-derived gas 	380.00	2016-08-19 12:18:01.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Czech Republic	CZ	Fossil Coal-derived gas 	380.00	2016-08-19 12:18:01.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CEPS BZ	CZ	Hydro Run-of-river and poundage 	431.00	2016-08-19 12:18:08.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Czech Republic	CZ	Hydro Run-of-river and poundage 	431.00	2016-08-19 12:18:08.000
2016	1	1	2016-01-01 00:00:00.000	BZN	CEPS BZ	CZ	Waste 	0.00	2016-08-19 12:18:14.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Czech Republic	CZ	Waste 	0.00	2016-08-19 12:18:14.000
2016	1	1	2016-01-01 00:00:00.000	CTA	AST CA	LV	Biomass 	101.67	2015-12-28 10:19:56.000
2016	1	1	2016-01-01 00:00:00.000	CTA	AST CA	LV	Fossil Gas 	1102.91	2015-12-28 10:24:22.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Estonia	EE	Hydro Run-of-river and poundage 	8.00	2016-07-15 08:05:30.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Estonia	EE	Hydro Pumped Storage 	0.00	2016-07-15 08:05:30.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Elering BZ	EE	Hydro Run-of-river and poundage 	8.00	2016-07-15 08:05:30.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Elering BZ	EE	Hydro Pumped Storage 	0.00	2016-07-15 08:05:30.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Fossil Oil 	893.00	2016-07-15 08:09:01.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Finland	FI	Fossil Hard coal 	3416.00	2016-07-15 08:09:01.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Estonia	EE	Biomass 	77.00	2016-07-15 08:05:25.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Elering BZ	EE	Biomass 	77.00	2016-07-15 08:05:25.000
2016	1	1	2016-01-01 00:00:00.000	CTY	Lithuania	LT	Other renewable 	72.00	2017-01-20 11:39:19.000
2016	1	1	2016-01-01 00:00:00.000	BZN	Litgrid BZ	LT	Other renewable 	72.00	2017-01-20 11:39:19.000
2016	1	1	2016-01-01 00:00:00.000	CTA	Transelectrica CA	RO	Biomass 	95.00	2015-12-23 14:20:10.000
