year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	ProductionType_Name	ActualConsumption	ActualGenerationOutput	SubmissionTS
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	800.500000	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Fossil Gas 	0.000000	1715.137500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 17:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	0.000000	2016-01-15 11:02:10.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Other 	0.000000	683.085000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 12:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	399.112500	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 05:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	268.900000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 11:00:00.000	CTA	Elia CA	BE	Fossil Gas 	0.000000	4234.152500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 18:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 15:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 15:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	19.895000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 02:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	635.915000	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 10:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5956.462500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	Wind Offshore 	0.000000	517.462500	2017-01-10 10:42:05.000
2016	1	14	2016-01-14 20:00:00.000	CTA	Elia CA	BE	Solar 	0.000000	0.000000	2016-01-15 11:02:10.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Hydro Run-of-river and poundage 	0.000000	19.550000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 08:00:00.000	CTA	Elia CA	BE	Other 	0.000000	679.780000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 22:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	156.972500	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 19:00:00.000	CTA	Elia CA	BE	Waste 	0.000000	158.815000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 09:00:00.000	CTA	Elia CA	BE	Wind Onshore 	0.000000	424.600000	2016-01-15 11:02:29.000
2016	1	14	2016-01-14 21:00:00.000	CTA	Elia CA	BE	Nuclear 	0.000000	5955.945000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 17:00:00.000	CTA	Elia CA	BE	Wind Offshore 	0.000000	624.077500	2017-01-10 10:42:05.000
2016	1	14	2016-01-14 13:00:00.000	CTA	Elia CA	BE	Fossil Hard coal 	0.000000	459.950000	2017-04-26 15:11:31.000
2016	1	14	2016-01-14 23:00:00.000	CTA	Elia CA	BE	Fossil Oil 	0.000000	0.000000	2017-04-26 15:11:31.000
