year	month	day	DateTime	AreaTypeCode	AreaName	MapCode	PowerSystemResourceName	ProductionTypeName	ActualGenerationOutput	ActualConsumption	InstalledGenCapacity	SubmissionTS
2016	1	14	2016-01-14 17:00:00.000	CTA	RTE CA	FR	DIRINON 2	Fossil Oil 	1.000000	0.000000	85.00	2016-01-14 18:53:08.000
2016	1	14	2016-01-14 18:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 4	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 19:53:09.000
2016	1	14	2016-01-14 13:00:00.000	CTA	RTE CA	FR	BRENNILIS 3	Fossil Oil 	0.000000	0.000000	134.00	2016-01-14 14:52:09.000
2016	1	14	2016-01-14 13:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 3	Fossil Oil 	0.000000	0.000000	535.00	2016-01-14 14:52:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	MONTEZIC 4	Hydro Pumped Storage 	0.000000	200.000000	227.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	ARRIGHI 1	Fossil Oil 	0.000000	0.000000	125.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	GRAND MAISON 6	Hydro Pumped Storage 	0.000000	39.000000	152.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	GRAND MAISON 9	Hydro Pumped Storage 	0.000000	0.000000	157.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	CORDEMAIS 4	Fossil Hard coal 	461.000000	0.000000	580.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	ARRIGHI 1	Fossil Oil 	0.000000	0.000000	125.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	GRAND MAISON 10	Hydro Pumped Storage 	0.000000	0.000000	157.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	BRENNILIS 2	Fossil Oil 	0.000000	0.000000	85.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	CYCOFOS PL2	Other 	1.000000	0.000000	62.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	Croix-de-Metz	Fossil Gas 	403.000000	0.000000	413.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	BUGEY 5	Nuclear 	0.000000	15.000000	880.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 22:00:00.000	CTA	RTE CA	FR	GRAVELINES 1	Nuclear 	892.000000	0.000000	910.00	2016-01-14 23:51:08.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	COMBIGOLFE CCG	Fossil Gas 	401.000000	0.000000	425.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	NOGENT 2	Nuclear 	1309.000000	0.000000	1310.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	AMFARD14	Fossil Gas 	123.000000	0.000000	130.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	NOGENT 1	Nuclear 	1309.000000	0.000000	1310.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	BRENNILIS 1	Fossil Oil 	0.000000	0.000000	85.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	CYCOFOS PL2	Other 	1.000000	0.000000	62.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	CRUAS 2	Nuclear 	926.000000	0.000000	915.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	Pont-sur-Sambre	Fossil Gas 	281.000000	0.000000	412.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	VILLARODIN 2	Hydro Water Reservoir 	103.000000	0.000000	180.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	POUGET 4	Hydro Water Reservoir 	0.000000	0.000000	286.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	ST LAURENT 1	Nuclear 	904.000000	0.000000	915.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	CHOOZ 1	Nuclear 	1488.000000	0.000000	1500.00	2016-01-14 06:51:11.000
2016	1	14	2016-01-14 08:00:00.000	CTA	RTE CA	FR	DK6-TV2	Fossil Gas 	208.000000	0.000000	231.00	2016-01-14 09:54:08.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	ARAMON 1	Fossil Oil 	0.000000	3.000000	0.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 00:00:00.000	CTA	RTE CA	FR	PALUEL 1	Nuclear 	1295.000000	0.000000	1330.00	2016-01-14 01:51:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	CHEYLAS 1	Hydro Pumped Storage 	0.000000	0.000000	259.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	BLAYAIS 1	Nuclear 	907.000000	0.000000	910.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	PALUEL 4	Nuclear 	1289.000000	0.000000	1330.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	MONTEZIC 3	Hydro Pumped Storage 	0.000000	0.000000	227.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	DAMPIERRE 1	Nuclear 	779.000000	0.000000	890.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	TRICASTIN 2	Nuclear 	939.000000	0.000000	915.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	VAIRES 3	Fossil Oil 	0.000000	0.000000	182.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	SUPER BISSORTE 1	Hydro Pumped Storage 	0.000000	0.000000	152.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	CATTENOM 1	Nuclear 	1290.000000	0.000000	1300.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	GRAND MAISON 5	Hydro Pumped Storage 	0.000000	161.000000	152.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	CRUAS 1	Nuclear 	905.000000	0.000000	915.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	COMBE D'AVRIEUX 1	Hydro Water Reservoir 	0.000000	0.000000	123.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 04:00:00.000	CTA	RTE CA	FR	CYCOFOS PL1	Fossil Gas 	0.000000	3.000000	428.00	2016-01-14 05:53:09.000
2016	1	14	2016-01-14 10:00:00.000	CTA	RTE CA	FR	CHASTANG 2	Hydro Run-of-river and poundage 	80.000000	0.000000	105.00	2016-01-14 11:53:09.000
2016	1	14	2016-01-14 10:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 3	Fossil Oil 	0.000000	0.000000	535.00	2016-01-14 11:53:09.000
2016	1	14	2016-01-14 10:00:00.000	CTA	RTE CA	FR	PALUEL 4	Nuclear 	1289.000000	0.000000	1330.00	2016-01-14 11:53:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	ARAMON 2	Fossil Oil 	0.000000	0.000000	0.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	GRAVELINES 2	Nuclear 	805.000000	0.000000	910.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	GRAND MAISON 2	Hydro Pumped Storage 	0.000000	159.000000	152.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 02:00:00.000	CTA	RTE CA	FR	FESSENHEIM 2	Nuclear 	869.000000	0.000000	880.00	2016-01-14 03:52:09.000
2016	1	14	2016-01-14 06:00:00.000	CTA	RTE CA	FR	PORCHEVILLE 1	Fossil Oil 	0.000000	0.000000	585.00	2016-01-14 07:55:09.000
2016	1	14	2016-01-14 05:00:00.000	CTA	RTE CA	FR	PALUEL 2	Nuclear 	0.000000	10.000000	1330.00	2016-01-14 06:51:11.000
